L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
9.812868461888185623e-02,6.315911362084283831e-02,-1.330382682280755458e-01,-1.636177023668400066e-01,8.238937123054575207e-03,1.320334387048852920e-01
9.712239349381873721e-02,6.403343481534720660e-02,-1.322123626125913942e-01,-1.646948394266323779e-01,9.415547908250498921e-03,1.317736472050797247e-01
9.610548427773657476e-02,6.493389819199495150e-02,-1.314086080247763577e-01,-1.657823482347489386e-01,1.060143854410740966e-02,1.314816734186932956e-01
9.507791572660112545e-02,6.585977276800461522e-02,-1.306285158141914648e-01,-1.668800479184205099e-01,1.179652697438268553e-02,1.311601605930403924e-01
9.403965465179707495e-02,6.681036245452712241e-02,-1.298734398543143764e-01,-1.679877696121945541e-01,1.300075475552346996e-02,1.308116748575492982e-01
9.299067548594112942e-02,6.778500341588597489e-02,-1.291445813005998589e-01,-1.691053556883251041e-01,1.421408593220054202e-02,1.304387006064499366e-01
9.193095986521511442e-02,6.878306164806555212e-02,-1.284429935586117733e-01,-1.702326590236853399e-01,1.543650580550733585e-02,1.300436364841131287e-01
9.086049622497914535e-02,6.980393077038089811e-02,-1.277695874347773153e-01,-1.713695423015330621e-01,1.666801961676755983e-02,1.296287919499740371e-01
8.977927940620261671e-02,7.084703002260915594e-02,-1.271251364435692088e-01,-1.725158773466574924e-01,1.790865116809077853e-02,1.291963843990034111e-01
8.868731027092047192e-02,7.191180245851540309e-02,-1.265102822459218679e-01,-1.736715444926031637e-01,1.915844139903561880e-02,1.287485368129111241e-01
8.758459532549002502e-02,7.299771332564415627e-02,-1.259255401948935760e-01,-1.748364319798064170e-01,2.041744693699232283e-02,1.282872759168830201e-01
8.647114635090080714e-02,7.410424862044259764e-02,-1.253713049656065559e-01,-1.760104353835956481e-01,2.168573863719574363e-02,1.278145308159489846e-01
8.534698003978161140e-02,7.523091380721097510e-02,-1.248478562476183634e-01,-1.771934570710984591e-01,2.296340012662088578e-02,1.273321320852673633e-01
8.421211764006626688e-02,7.637723268901158713e-02,-1.243553644789071044e-01,-1.783854056861725046e-01,2.425052636442106765e-02,1.268418112880249360e-01
8.306658460552873713e-02,7.754274641849090433e-02,-1.238938966017224530e-01,-1.795861956615319444e-01,2.554722223003167911e-02,1.263452008950375072e-01
8.191041025358800076e-02,7.872701263655276782e-02,-1.234634218216195539e-01,-1.807957467572819943e-01,2.685360114859951935e-02,1.258438345800768632e-01
8.074362743092024230e-02,7.992960472694583818e-02,-1.230638173519905676e-01,-1.820139836251019050e-01,2.816978376200770032e-02,1.253391478652523261e-01
7.956627218750822461e-02,8.115011117507354987e-02,-1.226948741274283411e-01,-1.832408353973337956e-01,2.949589665245230460e-02,1.248324790911144871e-01
7.837838345981021360e-02,8.238813501968361708e-02,-1.223563024702659513e-01,-1.844762353002423194e-01,3.083207112429808827e-02,1.243250706865694777e-01
7.718000276375142077e-02,8.364329338652509716e-02,-1.220477376956007470e-01,-1.857201202907123039e-01,3.217844204879068137e-02,1.238180707141176562e-01
