L_distal,L_fore,L_toInterface,R_distal,R_fore,R_toInterface
-1.725352954988058352e-01,1.799049163457033113e-02,1.291121297516838184e-01,8.971073926789660535e-02,7.086314153865780341e-02,-1.270491899027297866e-01
-1.736907751895097052e-01,1.924022390051715117e-02,1.286639757536380546e-01,8.861858497655125677e-02,7.192805425241112494e-02,-1.264342293469570833e-01
-1.748554635266936219e-01,2.049914896266458522e-02,1.282024724288957640e-01,8.751568370549589471e-02,7.301411563777052138e-02,-1.258494427852081265e-01
-1.760292565107674234e-01,2.176733883913025205e-02,1.277295467544610486e-01,8.640204707910253967e-02,7.412081131828816838e-02,-1.252952225001858766e-01
-1.772120569251626199e-01,2.304487826773145981e-02,1.272470271318817403e-01,8.527769162636152089e-02,7.524764641034140111e-02,-1.247718457656205315e-01
-1.784037738203614887e-01,2.433186326601933028e-02,1.267566429153587360e-01,8.414263842620633982e-02,7.639414439266348222e-02,-1.242794805891434401e-01
-1.796043220252407924e-01,2.562839971929017219e-02,1.262600243410305634e-01,8.299691275952558733e-02,7.755984611599094081e-02,-1.238181914765948965e-01
-1.808136216849338673e-01,2.693460200620192979e-02,1.257587028314527122e-01,8.184054376827547272e-02,7.874430894073895792e-02,-1.233879451990810838e-01
-1.820315978244429478e-01,2.825059167023221893e-02,1.252541116497593032e-01,8.067356412224439832e-02,7.994710599074235369e-02,-1.229886165451079399e-01
-1.832581799372510478e-01,2.957649614390806675e-02,1.247475868779584773e-01,7.949600969411241280e-02,8.116782551134599233e-02,-1.226199940411191319e-01
-1.844933015981907176e-01,3.091244753150356947e-02,1.242403686945796892e-01,7.830791924350143096e-02,8.240607032047811420e-02,-1.222817856247821883e-01
-1.857369000998288777e-01,3.225858145475753169e-02,1.237336029271969146e-01,7.710933411073142563e-02,8.366145734177396487e-02,-1.219736242563436851e-01
-1.869889161116231879e-01,3.361503596510208997e-02,1.232283428559552557e-01,7.590029792098985928e-02,8.493361720932050829e-02,-1.216950734543346541e-01
-1.882492933610975250e-01,3.498195052491618467e-02,1.227255512449112324e-01,7.468085629959100857e-02,8.622219393415048172e-02,-1.214456327428743432e-01
-1.895179783362742065e-01,3.635946505942889984e-02,1.222261025785850164e-01,7.345105659895295735e-02,8.752684462321302927e-02,-1.212247429987373809e-01
-1.907949200085893027e-01,3.774771908008966309e-02,1.217307854820038338e-01,7.221094763785716741e-02,8.884723924217600988e-02,-1.210317916872482996e-01
-1.920800695755056076e-01,3.914685087950183634e-02,1.212403053030570443e-01,7.096057945348194229e-02,9.018306041406246032e-02,-1.208661179770082750e-01
-1.933733802220269915e-01,4.055699679737140989e-02,1.207552868369658472e-01,6.970000306662020584e-02,9.153400324638014118e-02,-1.207270177243310733e-01
-1.946748069003081116e-01,4.197829055635957790e-02,1.202762771734180863e-01,6.842927026040623861e-02,9.289977518005898549e-02,-1.206137483190283799e-01
-1.959843061265456876e-01,4.341086266623811474e-02,1.198037486477409597e-01,6.714843337278793289e-02,9.428009585416406713e-02,-1.205255333841692422e-01
-1.973018357943328582e-01,4.485483989432838964e-02,1.193381018783425118e-01,6.585754510289247576e-02,9.567469698098861330e-02,-1.204615673231723000e-01
-1.986273550036552760e-01,4.631034479985375596e-02,1.188796688735839491e-01,6.455665833134628662e-02,9.708332222675293555e-02,-1.204210197083436240e-01
-1.999608239047086511e-01,4.777749532954873174e-02,1.184287161919803377e-01,6.324582595452518663e-02,9.850572709373280056e-02,-1.204030395058367092e-01
-2.013022035557216483e-01,4.925640447163816271e-02,1.179854481406275163e-01,6.192510073263014087e-02,9.994167880021370687e-02,-1.204067591327177833e-01
-2.026514557939750605e-01,5.074717996512694007e-02,1.175500099975259893e-01,6.059453515140772462e-02,1.013909561552099325e-01,-1.204312983425215172e-01
-2.040085431192188992e-01,5.224992406121544558e-02,1.171224912443740024e-01,5.925418129726377908e-02,1.028533494253994623e-01,-1.204757679364098916e-01
-2.053734285887032218e-01,5.376473333357701528e-02,1.167029287972442958e-01,5.790409074545382895e-02,1.043286601922049778e-01,-1.205392732977314113e-01
-2.067460757230549506e-01,5.529169853419500791e-02,1.162913102233898432e-01,5.654431446097545749e-02,1.058167011973953214e-01,-1.206209177483898304e-01
-2.081264484222530575e-01,5.683090449145480894e-02,1.158875769332527311e-01,5.517490271173568217e-02,1.073172961759920330e-01,-1.207198057260842755e-01
-2.095145108909766962e-01,5.838243004721498791e-02,1.154916273375568153e-01,5.379590499352094463e-02,1.088302796756405871e-01,-1.208350457820920737e-01
-2.109102275726255082e-01,5.994634802963888509e-02,1.151033199601519813e-01,5.240736996625850602e-02,1.103554968619447213e-01,-1.209657533997794132e-01
-2.123135630913382255e-01,6.152272525864795061e-02,1.147224764980513817e-01,5.100934540102557840e-02,1.118928033095686614e-01,-1.211110536346173133e-01
-2.137244822013641687e-01,6.311162258095817656e-02,1.143488848208459308e-01,4.960187813723648809e-02,1.134420647791830467e-01,-1.212700835769821850e-01
-2.151429497431717741e-01,6.471309493177702932e-02,1.139823019024105155e-01,4.818501404941819000e-02,1.150031569805692183e-01,-1.214419946394741379e-01
-2.165689306057096419e-01,6.632719142036661020e-02,1.136224566785255935e-01,4.675879802297014387e-02,1.165759653224045927e-01,-1.216259546710058842e-01
-2.180023896942671069e-01,6.795395543681807815e-02,1.132690528246855649e-01,4.532327393829607698e-02,1.181603846494280741e-01,-1.218211499002471720e-01
-2.194432919034132734e-01,6.959342477752634981e-02,1.129217714490801799e-01,4.387848466269114733e-02,1.197563189678348822e-01,-1.220267867115221588e-01
-2.208916020945262404e-01,7.124563178700532573e-02,1.125802736962882716e-01,4.242447204936967975e-02,1.213636811598711451e-01,-1.222420932565167623e-01
-2.223472850774558252e-01,7.291060351383414628e-02,1.122442032578977872e-01,4.096127694302368477e-02,1.229823926886964569e-01,-1.224663209055791291e-01
-2.238103055958954868e-01,7.458836187867813605e-02,1.119131887867796521e-01,3.948893919131212654e-02,1.246123832946561538e-01,-1.226987455426591239e-01
